"","number","Wo","CR","Freq","aorta_Um_avg","aorta_Um_max","aorta_Ux_avg","aorta_Ux_max","connect_Um_avg","connect_Um_max","connect_Uy_avg","connect_Uy_max","vena_Um_avg","vena_Um_max","vena_Ux_avg","vena_Ux_max","aorta_P_avg","aorta_P_max","vena_P_avg","vena_P_max","delta_P","Q","COT","Work"
"85",85,5.05,0.675,1.653852,0.724336296014677,2.54873067140579,0.626825571944843,2.48552665114403,0.564227994537026,2.45288819074631,0.486083092125521,2.44823589920998,0.681188930309218,2.61628806591034,0.607708002274661,2.57531553506851,22.7185767778054,486.80166015625,-8.492074664629,383.708178710938,-31.2106514424344,1.44963788491168,5255200000,1302.6
"86",86,5.05,0.675,1.6830127,0.721548860390899,2.51786649227142,0.633060945192255,2.45836049318314,0.566609142681456,2.40686640143394,0.491431170740989,2.39863574504852,0.705439760035173,2.6328432559967,0.632304617979979,2.57998019456863,21.874307163471,297.756518554688,-8.47283060517235,170.836437988281,-30.3471377686433,1.42915599261106,6199600000,1829.7
"87",87,5.05,0.675,1.8309475,0.724092566728359,2.71119475364685,0.638410938263405,2.67044425010681,0.595811359729851,2.53236025571823,0.492006803334031,2.5212025642395,0.701801066985354,2.46440380811691,0.585469620787383,2.37765818834305,1.55399613618852,789.00439453125,-23.5483334350586,826.17822265625,-25.1023295712471,1.28830657730061,6715200000,1855.4
"88",88,5.05,0.675,1.8958522,0.714050277511605,2.7950581908226,0.588604085915622,2.7605128288269,0.590372463086106,2.52845406532288,0.451636494960722,2.51009672880173,0.629281909000445,2.43841409683228,0.504565240309436,2.35800594091415,73.8036968757366,1137.3623046875,52.7735632889302,1174.69814453125,-21.0301335868064,1.30503870476263,6.392e+09,1642.7
"89",89,5.05,0.675,1.9296349,0.716927849190632,2.80543267726898,0.557584932100256,2.77456730604172,0.58865055829609,2.45783269405365,0.43427734870336,2.42725819349289,0.652817339301527,2.47695595026016,0.53210344044331,2.41496711969376,58.195211322491,1310.8865234375,25.2443092356649,1339.52109375,-32.9509020868261,1.41480287008718,5968800000,1548.6
"90",90,5.05,0.76849479,0.8169873,0.908318385944666,3.45755249261856,0.848493607269726,3.37471127510071,0.720418216898906,3.30205976963043,0.665925723609689,3.29711824655533,0.906629601647312,3.37334126234055,0.863533478981253,3.31450700759888,18.4903496369513,394.3205078125,0.600070237261904,298.812646484375,-17.8902793996894,1.80262099079672,1818500000,505.04
"91",91,5.05,0.76849479,1.25,0.955313773528259,3.16400051116943,0.748271146882723,3.10720980167389,0.805072924650561,2.93606549501419,0.618007064567652,2.93489217758179,0.90228667652811,3.1520202755928,0.783921825670181,3.07350993156433,113.360777020251,2610.4849609375,99.7214455653971,2586.690625,-13.6393314548539,1.86704134747174,2960700000,862.61
"92",92,5.05,0.76849479,1.6830127,1.09146513075368,4.1340696811676,0.986629629557341,4.04754191637039,0.861823106484595,3.896404504776,0.777088587396205,3.87616604566574,1.08514232159775,4.14171934127808,0.990552176983009,4.05909776687622,25.3552117844932,373.678588867188,-17.7309338988839,184.187475585938,-43.0861456833771,2.31708493557918,6956300000,2050.2
"93",93,5.05,0.82307906,1.25,1.29505943314423,4.16029959917068,1.09487323266806,4.08621549606323,1.07266908905541,3.93599152565002,0.896541334880077,3.93094152212143,1.19687685099979,3.87791812419891,1.11620343716441,3.80148828029633,104.700871797708,2704.4193359375,85.1901467665349,2709.734375,-19.5107250311731,2.57384131164356,3184600000,928.37
"94",94,5.05,0.83377132,0.60414777,1.74352300638843,5.60118675231934,1.30958836360757,5.38876354694366,1.37492571490639,5.06904482841492,1.06369597995598,5.06893873214722,1.32175282601522,5.36802411079407,1.13463792965073,5.14721691608429,365.148300157274,2643.6291015625,337.246475778307,2589.28671875,-27.901824378967,3.19084877439376,2225300000,774.18
