"","number","Wo","CR","Freq","aorta_Um_avg","aorta_Um_max","aorta_Ux_avg","aorta_Ux_max","connect_Um_avg","connect_Um_max","connect_Uy_avg","connect_Uy_max","vena_Um_avg","vena_Um_max","vena_Ux_avg","vena_Ux_max","aorta_P_avg","aorta_P_max","vena_P_avg","vena_P_max","delta_P","Q","COT","Work"
"60",60,5.05,0.46198592,0.8169873,0.216694060038529,0.75216569006443,0.127583828922498,0.721408203244209,0.171495180381085,0.834454596042633,0.0986963620821539,0.831422656774521,0.188642442810451,0.863647535443306,0.116470508332496,0.857883170247078,-3.34968817654778,250.873168945312,-3.75894500493605,234.497436523438,-0.40925682838827,0.473954655357321,1444900000,438.39
"61",61,5.05,0.46198592,1.25,0.42893220601471,1.14627592265606,0.130822549998651,1.13999739289284,0.335371580788947,1.2089678645134,0.115359271426962,1.17543093860149,0.409238523956082,1.93926751613617,0.154953359365251,1.77914291620254,69.5062845533969,1801.0041015625,119.226257560279,1799.873046875,49.7199730068821,0.713329541222366,2738700000,615.89
"62",62,5.05,0.46198592,1.6830127,0.332720649124645,1.18392527103424,0.245724943718807,1.15692712366581,0.274626006925677,1.28011077642441,0.195307930082219,1.2801106274128,0.331158587720357,1.2692466378212,0.235227415650998,1.25505328178406,10.3546885074938,213.933911132812,-3.04328918201095,167.006982421875,-13.3979776895047,0.661993075414044,5029900000,1570.6
"63",63,5.05,0.46198592,1.8309475,0.353259289278831,1.32809937000275,0.244233389891865,1.31355851888657,0.306539440859697,1.29962489008904,0.194621301812787,1.28848254680633,0.361142896704369,1.25555962324143,0.228761868656236,1.22010178864002,4.0785829595491,610.543603515625,0.136624122626694,631.2990234375,-3.94195883692241,0.693927740724773,6220600000,1792
"64",64,5.05,0.51622868,0.60414777,0.64363078978917,1.92950367927551,0.0603055977662021,1.8755079805851,0.550784055946429,3.3125838637352,0.0843097406022348,2.33836442232132,0.64852915772219,4.24366623163223,0.219424761488099,3.99790495634079,-60.6606391457951,2553.9783203125,-18.3557868163574,2528.3955078125,42.3048523294377,1.55471326562161,1907900000,682.28
"65",65,5.05,0.51622868,0.6690525,0.523934654997634,1.3426049053669,0.0811814098600663,1.23061135411262,0.427395081706874,2.00544103980064,0.0925490772451231,1.54508292675018,0.502542639293592,3.55291098356247,0.195274456193791,3.53003799915314,-92.0403245776307,1998.9466796875,-113.592917620285,1970.682421875,-21.5525930426543,1.16968824570232,1903600000,640.18
"66",66,5.05,0.51622868,0.8169873,0.262131390313609,0.960894003510475,0.173935345764952,0.925436466932297,0.206869715581175,1.05715528130531,0.135415742963954,1.05333775281906,0.232853920634445,1.05577014386654,0.157559228758984,1.04944117367268,-3.16734185405806,276.315258789062,-5.03409904203036,246.974755859375,-1.8667571879723,0.595217301258315,1509400000,444.06
"67",67,5.05,0.51622868,0.99501422,0.329475511332253,1.13806940615177,0.192509618977698,1.13806121051312,0.306197918615573,1.06219790875912,0.157564883228602,1.0187341272831,0.386713837300164,1.87496557831764,0.202101182694006,1.87399566173553,-51.2942729809705,1183.14560546875,-67.9761235367817,1199.2392578125,-16.6818505558112,0.627363000890812,2574800000,389.85
"68",68,5.05,0.51622868,1.25,0.483893003233699,1.42685607075691,0.194158058547342,1.41540423035622,0.38215576543381,1.43643453717232,0.166660586002838,1.38980180025101,0.461981180931332,1.999571621418,0.219969243344291,1.97856962680817,79.3345038255055,1989.652734375,68.9212441612158,1975.926171875,-10.4132596642897,0.824677531495958,2871300000,643.5
"69",69,5.05,0.51622868,1.5049858,0.466235496409639,1.52526184916496,0.293455216007701,1.48291200399399,0.361311802710567,1.60630375146866,0.239005739903694,1.60242393612862,0.455692874852799,1.73844695091248,0.30126556169083,1.73147559165955,-33.2126270742977,1285.12978515625,-33.2109049101116,1260.877734375,0.0017221641860985,0.798524340315404,3178100000,902.73
"70",70,5.05,0.51622868,1.6830127,0.412204558525963,1.52462244033814,0.332837618822369,1.48611336946487,0.342610208087813,1.61667808890343,0.268525369924033,1.61667734384537,0.43625072708954,1.64490699768066,0.347843082587493,1.63381054997444,12.9338066961543,236.353784179688,-1.36789391331411,175.888366699219,-14.3017006094684,0.837222973376716,5130300000,1610.9
"71",71,5.05,0.51622868,1.8309475,0.437979372800328,1.6830775141716,0.33654501825831,1.66112318634987,0.379751216815993,1.65950581431389,0.272389616354083,1.64863124489784,0.444030160571228,1.61695435643196,0.324940500535222,1.5959158539772,5.38682788353341,676.257177734375,-4.65618163195828,690.43876953125,-10.0430095154917,0.879012864542435,6552500000,1895.5
"72",72,5.05,0.51622868,1.8958522,0.46056358533165,1.77271500229836,0.325319766540334,1.75404250621796,0.399617783921048,1.7001523077488,0.266213363364967,1.68082490563393,0.45408668742728,1.6428892314434,0.308586068194088,1.62368938326836,25.8880121044084,976.45556640625,9.75769934362764,1002.9884765625,-16.1303127607808,0.89187381615434,6200800000,1591.1
"73",73,5.05,0.52692094,1.25,0.496272668493546,1.45479559898376,0.210386146924672,1.44510373473167,0.394114300397229,1.4841103553772,0.177166004340451,1.43949910998344,0.479059443064944,2.26010352373123,0.242276417661496,1.98198974132538,80.9417836983999,2026.744140625,99.5664463798311,2011.25625,18.6246626814312,0.85107014476281,2840700000,648.29
"74",74,5.05,0.58150521,0.8169873,0.337553527674126,1.27478092908859,0.254871698536376,1.2328028678894,0.271965260923684,1.41445264220238,0.20475922568693,1.41103997826576,0.306295073792404,1.4134892821312,0.236354885912319,1.40411868691444,-2.86893832075829,312.96552734375,-10.8070398860875,283.4173828125,-7.93810156532921,0.802069386664946,1553600000,457.24
"75",75,5.05,0.58150521,1.25,0.56708343353296,1.79746568202972,0.301838932353206,1.77842438220978,0.460590649525078,1.75755947828293,0.257439338713604,1.73913568258285,0.539765588006717,2.426927536726,0.333511619966586,2.27673396468163,89.2715785484688,2201.3845703125,68.456572868995,2188.412890625,-20.8150056794738,1.01149439895561,2804700000,689.08
"76",76,5.05,0.58150521,1.6830127,0.556445779928289,2.081488519907,0.485525863329677,2.02845826745033,0.463678619586729,2.16407269239426,0.396836785707957,2.16406002640724,0.555878875218436,2.13598415255547,0.469663634398099,2.09524646401405,15.8544706928964,259.286572265625,-5.24673510528149,189.911755371094,-21.1012057981779,1.16052780858203,5431500000,1688.3
"77",77,5.05,0.675,0.57036512,0.891165455013477,3.23576748371124,0.334732373996624,3.17785292863846,0.751789876103746,4.08649951219559,0.315602017392574,4.02389317750931,0.997112834650843,4.83921021223068,0.546103650794041,4.79423314332962,-43.0373218536377,2846.418359375,-16.7889572985857,2762.91640625,26.248364555052,2.14625078807724,1948600000,679.48
"78",78,5.05,0.675,0.60414777,0.839376321722133,3.15469771623612,0.306952630892149,3.06216955184937,0.699792020764303,3.92879694700241,0.299791262397305,3.86762201786041,0.908438320019211,5.1938134431839,0.549753737371334,5.12373864650726,-113.682879655501,2830.933984375,-92.0303805075505,2744.6765625,21.6524991479505,2.07668618735269,2069900000,741.4
